date | value
2009-01-02 | 5
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-02-29 | 900
2023-12-31 | 1000
2023-01-31 | 1100
2012-01-11 | 2147483648
2012-01-11 | -1
2001-01-11
2013-03-31 | 1000
2013-04-30 | 1000
2013-05-31 | 1000
2013-06-30 | 1000
2013-07-31 | 1000
2013-08-31 | 1000
2013-09-30 | 1000
2013-10-31 | 1000
2003-11-30 | 1000
1999-12-31 | 1000
1970-01-01 | 1000
2000-02-29 | 1000
2004-02-29 | 1000
2008-02-29 | 1000
deux-01-03 | 3
2011-un-03 | 3
2011-01-03 | trois
2011-01-03| 3
2011-01-03 |3
2011-01-03|3
2011-01-03  | 3
2013-02-29 | 10
2010-02-29 | 10
